Category: All categories

Week,Online shopping: (Germany),Depression: (Germany),Money: (Germany),Economy: (Germany)
2019-07-14,30,17,84,14
2019-07-21,18,17,82,13
2019-07-28,17,18,87,13
2019-08-04,17,19,85,13
2019-08-11,17,18,83,16
2019-08-18,17,19,84,16
2019-08-25,17,18,83,16
2019-09-01,19,18,84,16
2019-09-08,20,19,81,17
2019-09-15,18,18,82,17
2019-09-22,19,17,87,17
2019-09-29,19,18,85,15
2019-10-06,19,19,80,17
2019-10-13,17,19,78,18
2019-10-20,17,20,77,18
2019-10-27,36,19,78,16
2019-11-03,36,21,75,19
2019-11-10,21,22,77,19
2019-11-17,21,21,77,18
2019-11-24,24,20,75,17
2019-12-01,21,20,77,17
2019-12-08,21,20,78,17
2019-12-15,17,19,82,15
2019-12-22,14,19,83,10
2019-12-29,17,21,86,13
2020-01-05,17,21,84,17
2020-01-12,17,21,84,19
2020-01-19,16,21,84,20
2020-01-26,16,21,86,19
2020-02-02,16,21,83,18
2020-02-09,36,18,75,18
2020-02-16,42,19,74,19
2020-02-23,44,17,75,18
2020-03-01,44,18,76,20
2020-03-08,40,14,86,24
2020-03-15,61,11,98,28
2020-03-22,78,12,99,38
2020-03-29,43,15,100,29
2020-04-05,30,16,89,20
2020-04-12,30,16,92,19
2020-04-19,25,17,85,23
2020-04-26,25,17,89,22
2020-05-03,22,17,91,21
2020-05-10,21,18,86,21
2020-05-17,21,17,87,18
2020-05-24,20,17,84,19
2020-05-31,20,17,87,18
2020-06-07,19,20,84,18
2020-06-14,18,19,83,19
2020-06-21,20,19,79,18
