Week,diet: (Germany),food: (Germany),gym: (Germany),health: (Germany),fitness: (Germany)
20/01/2019,5,36,17,18,75
27/01/2019,5,38,17,18,73
03/02/2019,5,37,18,19,71
10/02/2019,5,40,16,19,69
17/02/2019,5,36,16,17,65
24/02/2019,6,37,16,17,65
03/03/2019,5,38,15,17,69
10/03/2019,5,39,15,17,65
17/03/2019,5,43,16,18,64
24/03/2019,6,47,16,17,60
31/03/2019,10,47,16,16,61
07/04/2019,7,44,15,17,61
14/04/2019,6,44,12,17,65
21/04/2019,6,44,14,16,61
28/04/2019,7,46,15,17,64
05/05/2019,5,49,15,16,58
12/05/2019,6,45,16,16,59
19/05/2019,5,45,15,17,55
26/05/2019,5,48,16,16,57
02/06/2019,5,44,16,17,56
09/06/2019,5,46,15,16,61
16/06/2019,5,46,16,17,58
23/06/2019,5,41,15,17,52
30/06/2019,4,43,14,18,55
07/07/2019,5,46,13,18,57
14/07/2019,5,46,12,18,58
21/07/2019,5,43,12,16,54
28/07/2019,5,43,11,17,58
04/08/2019,5,43,13,17,58
11/08/2019,5,42,16,18,57
18/08/2019,5,46,15,16,57
25/08/2019,5,43,16,17,56
01/09/2019,5,45,16,18,56
08/09/2019,5,43,17,18,56
15/09/2019,4,44,17,18,52
22/09/2019,4,43,16,19,56
29/09/2019,5,46,16,18,60
06/10/2019,4,44,13,19,66
13/10/2019,4,43,14,19,59
20/10/2019,4,44,16,17,57
27/10/2019,5,41,16,16,60
03/11/2019,5,43,17,17,60
10/11/2019,4,41,17,18,56
17/11/2019,5,39,18,17,59
24/11/2019,4,40,17,16,60
01/12/2019,4,39,16,18,58
08/12/2019,4,38,16,16,54
15/12/2019,4,39,15,17,53
22/12/2019,4,40,13,16,75
29/12/2019,5,40,16,18,87
05/01/2020,6,39,20,20,84
12/01/2020,6,42,19,19,76
19/01/2020,5,41,18,19,72
26/01/2020,5,40,18,19,66
02/02/2020,5,40,17,18,68
09/02/2020,5,39,19,18,63
16/02/2020,5,40,17,18,61
23/02/2020,5,40,17,19,60
01/03/2020,5,40,18,21,58
08/03/2020,4,36,22,22,62
15/03/2020,3,30,27,21,95
22/03/2020,4,35,20,22,52
29/03/2020,5,38,16,20,52
05/04/2020,5,39,13,22,48
12/04/2020,5,36,16,22,53
19/04/2020,5,36,25,21,49
26/04/2020,5,39,23,21,49
03/05/2020,6,37,25,20,63
10/05/2020,5,38,25,19,74
17/05/2020,5,38,20,19,64
24/05/2020,5,36,22,18,72
31/05/2020,5,35,20,19,71
07/06/2020,5,38,21,19,67
14/06/2020,5,35,20,20,63
21/06/2020,5,35,19,19,58
